Step,AgentID,name,position,sugar,metabolism,vision,strategy,influenciability,belief
0,1,a0,"(15, 30)",23.0,2,6,1,0.6732693413230987,2
0,2,a0,"(21, 10)",15.0,4,3,1,0.07931524532849099,2
0,3,a0,"(2, 19)",9.0,2,5,1,0.3171693864211629,2
0,4,a0,"(6, 15)",14.0,1,3,1,0.7039262998821842,1
0,5,a0,"(23, 4)",22.0,2,3,1,0.06924635401346002,0
0,6,a1,"(8, 40)",13.0,3,2,1,0.7567563977202045,0
0,7,a1,"(16, 32)",10.0,4,6,1,0.6653620266728575,2
0,8,a0,"(31, 1)",9.0,2,2,1,0.7015162456471926,1
0,9,a1,"(11, 33)",11.0,2,6,1,0.5542171094061595,0
0,10,a0,"(10, 36)",23.0,2,3,1,0.6217950862374515,1
0,11,a0,"(30, 18)",8.0,2,8,0,0.9763920537798436,2
0,12,a1,"(13, 28)",13.0,4,2,1,0.9259495763479381,0
0,13,a1,"(25, 16)",20.0,1,2,0,0.9715722463359754,2
0,14,a0,"(12, 37)",26.0,1,6,1,0.7914488599145602,2
0,15,a0,"(42, 43)",18.0,3,4,1,0.33448752691051664,0
0,16,a0,"(13, 11)",9.0,3,4,1,0.5112760351451219,0
0,17,a0,"(32, 19)",9.0,2,9,1,0.26036170014105064,0
0,18,a1,"(20, 32)",19.0,1,1,1,0.15935031034417113,0
0,19,a0,"(36, 37)",10.0,3,2,1,0.3698630657404446,0
0,20,a0,"(35, 25)",11.0,2,2,1,0.15963335324449435,2
0,21,a0,"(49, 48)",7.0,2,9,1,0.1889466381738284,2
0,22,a0,"(30, 44)",20.0,3,9,1,0.45933264566281373,2
0,23,a0,"(19, 0)",18.0,3,8,1,0.6238066877133203,1
0,24,a0,"(34, 4)",15.0,2,3,1,0.5615113600419889,2
0,25,a0,"(2, 32)",18.0,2,7,0,0.6756134445140555,1
0,26,a0,"(43, 17)",11.0,1,7,1,0.24683144675339197,1
0,27,a0,"(22, 26)",17.0,1,8,0,0.9313911881124479,0
0,28,a1,"(45, 49)",12.0,3,7,0,0.09806114706369684,1
0,29,a0,"(35, 19)",8.0,4,2,1,0.2223841193224807,1
0,30,a0,"(26, 7)",6.0,4,4,1,0.04497608455144764,1
0,31,a1,"(11, 32)",17.0,2,8,1,0.4481499202378141,2
0,32,a0,"(11, 1)",14.0,4,6,1,0.44115436158880683,1
0,33,a1,"(27, 11)",15.0,4,5,1,0.9362588279892616,0
0,34,a1,"(9, 16)",8.0,1,3,0,0.8040935942290601,2
0,35,a1,"(43, 24)",10.0,4,5,1,0.23078928965237266,0
0,36,a1,"(42, 17)",22.0,2,2,0,0.4100200875944814,1
0,37,a0,"(7, 20)",14.0,4,8,1,0.8636658122629196,1
0,38,a1,"(39, 12)",20.0,3,3,1,0.8504485850313734,1
0,39,a1,"(25, 17)",20.0,1,1,0,0.4128158201750364,2
0,40,a0,"(1, 24)",24.0,1,3,1,0.4801189481184812,2
0,41,a0,"(37, 13)",10.0,1,8,1,0.35505807889526486,0
0,42,a0,"(36, 29)",14.0,4,3,1,0.007844373045972075,1
0,43,a0,"(32, 39)",20.0,3,7,1,0.2768771755236821,2
0,44,a1,"(25, 10)",12.0,1,8,1,0.5367840368176215,2
0,45,a0,"(5, 44)",16.0,3,4,1,0.2803065814638662,1
0,46,a0,"(16, 22)",18.0,1,6,1,0.059907894791283,1
0,47,a0,"(7, 40)",20.0,4,5,1,0.854918827388679,0
0,48,a0,"(4, 25)",18.0,3,8,1,0.5164428402458318,1
0,49,a0,"(10, 19)",11.0,2,7,1,0.30660545222804525,1
0,50,a1,"(20, 38)",19.0,4,2,1,0.6820027026615585,1
0,51,a1,"(25, 20)",11.0,1,6,1,0.8633256810400409,1
0,52,a1,"(41, 7)",21.0,4,6,0,0.42999278280632225,1
0,53,a1,"(25, 8)",5.0,4,3,1,0.4393603081172778,1
0,54,a1,"(24, 17)",21.0,2,2,0,0.5922016798906312,2
0,55,a0,"(1, 38)",25.0,2,8,1,0.320514042402109,2
0,56,a0,"(39, 14)",21.0,1,8,1,0.2365066249428237,1
0,57,a0,"(10, 23)",16.0,4,9,0,0.09331247489184036,2
0,58,a0,"(44, 28)",19.0,1,2,1,0.6723457349205539,2
0,59,a0,"(6, 27)",20.0,2,6,1,0.26647562205289943,1
0,60,a0,"(31, 7)",21.0,1,1,1,0.20228677412109985,2
0,61,a1,"(9, 28)",21.0,1,3,1,0.3358613684845838,0
0,62,a0,"(32, 4)",18.0,3,5,0,0.8300821991959598,2
0,63,a1,"(5, 1)",11.0,4,2,0,0.01756317850512923,0
0,64,a1,"(31, 33)",14.0,1,1,1,0.61594153004914,1
0,65,a1,"(37, 17)",14.0,4,8,1,0.10416033415262338,0
0,66,a1,"(21, 26)",18.0,3,3,0,0.3707883901172192,0
0,67,a1,"(28, 8)",16.0,1,1,1,0.4637624102093971,1
0,68,a1,"(39, 11)",10.0,2,9,0,0.47703908395488215,1
0,69,a0,"(21, 37)",10.0,3,4,1,0.8014590352860209,1
0,70,a0,"(30, 9)",20.0,2,7,1,0.7888032853139095,0
0,71,a0,"(15, 46)",22.0,2,5,1,0.7700459872023911,0
0,72,a1,"(27, 16)",10.0,1,7,1,0.40493293575572953,1
0,73,a0,"(9, 23)",16.0,2,8,0,0.008552665169726414,2
0,74,a0,"(1, 36)",25.0,1,3,0,0.3275661483010297,1
0,75,a0,"(9, 37)",9.0,3,9,1,0.7861191107247855,2
0,76,a0,"(36, 15)",16.0,2,8,1,0.8029274717497366,1
0,77,a1,"(10, 28)",8.0,3,7,0,0.960339045503687,2
0,78,a1,"(17, 46)",15.0,4,2,1,0.6200927137904304,2
0,79,a1,"(10, 30)",8.0,4,6,1,0.6838170701635874,1
0,80,a0,"(7, 26)",17.0,1,7,1,0.2001922364755695,1
0,81,a1,"(26, 28)",15.0,2,2,1,0.3028668220210755,1
0,82,a1,"(37, 32)",16.0,1,2,1,0.9985396905979639,2
0,83,a1,"(12, 15)",18.0,4,5,1,0.9912282273297283,0
0,84,a0,"(32, 33)",16.0,2,3,1,0.45834484770906203,0
0,85,a0,"(34, 49)",21.0,3,2,1,0.7979750838871711,0
0,86,a1,"(4, 37)",13,1,7,1,0.25885759528327645,1
0,87,a0,"(0, 36)",21.0,4,5,0,0.6586106482005606,1
0,88,a1,"(28, 2)",16.0,1,1,1,0.14707486557546612,2
0,89,a1,"(15, 42)",18.0,2,6,1,0.7218192002090141,1
0,90,a1,"(46, 49)",19.0,4,6,0,0.9679108580683456,1
0,91,a0,"(45, 17)",10,4,4,1,0.519167430109489,2
0,92,a1,"(11, 45)",16.0,2,9,1,0.37370650863274224,1
0,93,a0,"(47, 32)",10.0,4,7,1,0.13831303550578877,2
0,94,a1,"(0, 4)",9.0,1,7,1,0.22715528187006218,1
0,95,a1,"(4, 1)",11.0,2,3,0,0.6418852460267997,0
0,96,a1,"(40, 21)",10.0,4,1,1,0.6831256684391566,2
0,97,a1,"(39, 7)",8.0,1,4,0,0.9230757991339927,1
0,98,a1,"(47, 22)",12.0,1,2,1,0.7505520509576397,2
0,99,a0,"(45, 22)",9.0,2,7,1,0.34940417587285555,2
0,100,a0,"(49, 16)",6.0,4,5,1,0.7133826704938353,1
0,187,a1,"(11, 37)",16.0,1,7,1,0.25885759528327645,1
0,192,a0,"(44, 17)",9.0,4,4,0,0.519167430109489,1
1,1,a0,"(15, 36)",25.0,2,6,1,0.6732693413230987,2
1,2,a0,"(21, 13)",13.0,4,3,1,0.07931524532849099,2
1,3,a0,"(7, 19)",8.0,2,5,1,0.3171693864211629,2
1,4,a0,"(9, 15)",14.0,1,3,1,0.7039262998821842,1
1,5,a0,"(26, 4)",22.0,2,3,1,0.06924635401346002,0
1,6,a1,"(8, 42)",14.0,3,2,1,0.7567563977202045,0
1,7,a1,"(16, 38)",10.0,4,6,1,0.6653620266728575,2
1,8,a0,"(31, 3)",9.0,2,2,1,0.7015162456471926,1
1,9,a1,"(12, 33)",13.0,2,6,0,0.5542171094061595,0
1,10,a0,"(10, 35)",25.0,2,3,0,0.6217950862374515,0
1,11,a0,"(38, 18)",10.0,2,8,1,0.9763920537798436,2
1,12,a1,"(14, 28)",12.0,4,2,0,0.9259495763479381,0
1,13,a1,"(26, 16)",22.0,1,2,0,0.9715722463359754,2
1,14,a0,"(13, 37)",29.0,1,6,0,0.7914488599145602,1
1,15,a0,"(42, 47)",15.0,3,4,1,0.33448752691051664,0
1,16,a0,"(17, 11)",7.0,3,4,1,0.5112760351451219,0
1,17,a0,"(32, 10)",11.0,2,9,1,0.26036170014105064,0
1,18,a1,"(20, 33)",21.0,1,1,1,0.15935031034417113,0
1,19,a0,"(34, 37)",8.0,3,2,1,0.3698630657404446,0
1,20,a0,"(33, 25)",12.0,2,2,1,0.15963335324449435,2
1,21,a0,"(49, 39)",5.0,2,9,1,0.1889466381738284,2
1,22,a0,"(21, 44)",19.0,3,9,1,0.45933264566281373,2
1,23,a0,"(27, 0)",17.0,3,8,1,0.6238066877133203,1
1,24,a0,"(35, 4)",16.0,2,3,0,0.5615113600419889,2
1,25,a0,"(2, 39)",19.0,2,7,1,0.6756134445140555,1
1,26,a0,"(39, 17)",14.0,1,7,0,0.24683144675339197,1
1,27,a0,"(22, 25)",18.0,1,8,0,0.9313911881124479,0
1,28,a1,"(45, 49)",9.0,3,7,0,0.09806114706369684,1
1,29,a0,"(33, 19)",8.0,4,2,1,0.2223841193224807,1
1,30,a0,"(27, 7)",5.0,4,4,0,0.04497608455144764,2
1,31,a1,"(11, 34)",19.0,2,8,0,0.4481499202378141,0
1,32,a0,"(17, 1)",11.0,4,6,1,0.44115436158880683,1
1,33,a1,"(32, 11)",15.0,4,5,1,0.9362588279892616,0
1,34,a1,"(8, 16)",8.0,1,3,0,0.8040935942290601,1
1,35,a1,"(43, 19)",9.0,4,5,1,0.23078928965237266,0
1,36,a1,"(42, 18)",23.0,2,2,0,0.4100200875944814,1
1,37,a0,"(15, 20)",12.0,4,8,1,0.8636658122629196,1
1,38,a1,"(38, 12)",21.0,3,3,0,0.8504485850313734,1
1,39,a1,"(25, 18)",22.0,1,1,0,0.4128158201750364,2
1,40,a0,"(4, 24)",25.0,1,3,1,0.4801189481184812,2
1,41,a0,"(29, 13)",13.0,1,8,1,0.35505807889526486,0
1,42,a0,"(36, 26)",12.0,4,3,1,0.007844373045972075,1
1,43,a0,"(25, 39)",19.0,3,7,1,0.2768771755236821,2
1,44,a1,"(33, 10)",15.0,1,8,1,0.5367840368176215,2
1,45,a0,"(9, 44)",17.0,3,4,1,0.2803065814638662,1
1,46,a0,"(16, 28)",20.0,1,6,1,0.059907894791283,1
1,47,a0,"(7, 41)",20.0,4,5,0,0.854918827388679,0
1,48,a0,"(4, 30)",18.0,3,8,0,0.5164428402458318,2
1,49,a0,"(10, 26)",11.0,2,7,1,0.30660545222804525,1
1,50,a1,"(18, 38)",18.0,4,2,1,0.6820027026615585,1
1,51,a1,"(25, 19)",13.0,1,6,0,0.8633256810400409,2
1,52,a1,"(41, 13)",20.0,4,6,1,0.42999278280632225,1
1,53,a1,"(26, 8)",4.0,4,3,0,0.4393603081172778,2
1,54,a1,"(24, 15)",22.0,2,2,1,0.5922016798906312,2
1,55,a0,"(9, 38)",27.0,2,8,1,0.320514042402109,2
1,56,a0,"(31, 14)",24.0,1,8,1,0.2365066249428237,1
1,57,a0,"(10, 32)",15.0,4,9,1,0.09331247489184036,2
1,58,a0,"(42, 28)",20.0,1,2,1,0.6723457349205539,2
1,59,a0,"(6, 33)",21.0,2,6,1,0.26647562205289943,1
1,60,a0,"(31, 8)",23.0,1,1,1,0.20228677412109985,2
1,61,a1,"(12, 28)",23.0,1,3,1,0.3358613684845838,0
1,62,a0,"(37, 4)",18.0,3,5,1,0.8300821991959598,2
1,63,a1,"(5, 1)",7.0,4,2,0,0.01756317850512923,0
1,64,a1,"(31, 32)",15.0,1,1,0,0.61594153004914,0
1,65,a1,"(37, 10)",14.0,4,8,1,0.10416033415262338,0
1,66,a1,"(21, 29)",17.0,3,3,1,0.3707883901172192,0
1,67,a1,"(29, 8)",18.0,1,1,1,0.4637624102093971,1
1,68,a1,"(30, 11)",12.0,2,9,1,0.47703908395488215,1
1,69,a0,"(21, 33)",10.0,3,4,1,0.8014590352860209,1
1,70,a0,"(33, 9)",22.0,2,7,0,0.7888032853139095,1
1,71,a0,"(15, 41)",24.0,2,5,1,0.7700459872023911,0
1,72,a1,"(29, 16)",13.0,1,7,0,0.40493293575572953,2
1,73,a0,"(9, 29)",17.0,2,8,0,0.008552665169726414,2
1,74,a0,"(4, 36)",27.0,1,3,1,0.3275661483010297,1
1,75,a0,"(10, 37)",10.0,3,9,0,0.7861191107247855,1
1,76,a0,"(29, 15)",18.0,2,8,1,0.8029274717497366,1
1,77,a1,"(10, 34)",9.0,3,7,0,0.960339045503687,0
1,78,a1,"(17, 47)",14.0,4,2,0,0.6200927137904304,0
1,79,a1,"(10, 33)",8.0,4,6,0,0.6838170701635874,2
1,80,a0,"(7, 33)",19.0,1,7,1,0.2001922364755695,1
1,81,a1,"(26, 30)",15.0,2,2,1,0.3028668220210755,1
1,82,a1,"(37, 30)",17.0,1,2,1,0.9985396905979639,2
1,83,a1,"(12, 10)",15.0,4,5,1,0.9912282273297283,0
1,84,a0,"(29, 33)",16.0,2,3,1,0.45834484770906203,0
1,85,a0,"(36, 49)",18.0,3,2,1,0.7979750838871711,0
1,86,a1,"(5, 37)",16.0,1,7,0,0.25885759528327645,1
1,87,a0,"(0, 37)",20.0,4,5,0,0.6586106482005606,1
1,88,a1,"(29, 2)",17.0,1,1,1,0.14707486557546612,2
1,89,a1,"(14, 42)",20.0,2,6,0,0.7218192002090141,0
1,90,a1,"(46, 49)",15.0,4,6,0,0.9679108580683456,1
1,91,a0,"(41, 17)",9.0,4,4,1,0.519167430109489,2
1,92,a1,"(11, 36)",18.0,2,9,1,0.37370650863274224,1
1,93,a0,"(47, 25)",7.0,4,7,1,0.13831303550578877,2
1,94,a1,"(7, 4)",8.0,1,7,1,0.22715528187006218,1
1,95,a1,"(4, 1)",9.0,2,3,0,0.6418852460267997,0
1,96,a1,"(40, 22)",9.0,4,1,1,0.6831256684391566,2
1,97,a1,"(38, 7)",10.0,1,4,0,0.9230757991339927,1
1,98,a1,"(48, 22)",13.0,1,2,0,0.7505520509576397,2
1,99,a0,"(45, 15)",10.0,2,7,1,0.34940417587285555,2
1,100,a0,"(44, 16)",5.0,4,5,1,0.7133826704938353,1
1,187,a1,"(11, 38)",19.0,1,7,0,0.25885759528327645,1
1,192,a0,"(44, 18)",8.0,4,4,0,0.519167430109489,1
2,1,a0,"(15, 35)",27.0,2,6,0,0.6732693413230987,2
2,2,a0,"(24, 13)",12.0,4,3,1,0.07931524532849099,2
2,3,a0,"(7, 23)",8.0,2,5,1,0.3171693864211629,2
2,4,a0,"(9, 18)",14.0,1,3,1,0.7039262998821842,1
2,5,a0,"(29, 4)",22.0,2,3,1,0.06924635401346002,0
2,6,a1,"(10, 42)",15.0,3,2,1,0.7567563977202045,0
2,7,a1,"(16, 37)",10.0,4,6,0,0.6653620266728575,2
2,8,a0,"(31, 5)",10.0,2,2,1,0.7015162456471926,1
2,9,a1,"(12, 34)",15.0,2,6,0,0.5542171094061595,2
2,10,a0,"(9, 35)",27.0,2,3,0,0.6217950862374515,0
2,11,a0,"(38, 10)",12.0,2,8,1,0.9763920537798436,2
